circo;EXG;FG;PS;EELV;MODEM;UMP;FN
83_2;RENÉE DEFRANCE;LUC LEANDRI;MIREILLE PEIRANO;OLIVIER LESAGE;ANNA RALLO;PHILIPPE VITEL;JEAN-YVES WAQUET
83_3;FRÉDÉRIC GOURC;GILBERTE MANDON;JOËL CANAPA;FRANÇOISE GUILMOTO;JEAN DONZEL;JEAN-PIERRE GIRAN;BRUNO GOLLNISCH
83_4;DIDIER GRASSINEAU;JEAN-MARIE BERNARDI;;JEAN-LAURENT FELIZIA;;JEAN-MICHEL COUVE;JEAN-LOUIS BOUGUEREAU
83_5;MURIEL MONCHAL;MARIE-DOMINIQUE FIÈVRE;MARTINE BOUVARD;SERGE CASTRO;PHILIPPE MICHEL;JORDI-DIT-GEORGES GINESTA;DAVID RACHLINE
83_6;JEAN-CHARLES PIPINO;ALAIN BOLLA;GÉRARD BLEINC;DELPHINE VAN HOOREBEKE;;JOSETTE PONS;ARMELLE DE PIERREFEU
83_7;HENRI PASCAL;CHRISTINE SAMPÉRÉ;LADISLAS POLSKI;MICHEL CANTINOL;DAMIEN GUTTIEREZ;JEAN-SÉBASTIEN VIALATTE;FRÉDÉRIC BOCCALETTI
83_8;FIORELLA CHAUDESSOLLE;JOËLLE MECAGNI;BERNARD CLAP;MARYSE RÉTALI;;OLIVIER AUDIBERT-TROIN;GENEVIÈVE BLANC
84_1;STÉPHANE GESLIN;ANDRÉ CASTELLI;MICHÈLE FOURNIER-ARMAND;MOHAMED ZAIDAT;PIERRE MAUREL;VALÉRIE WAGNER;THIBAULT DE LA TOCNAYE
84_2;SALVATOR RIZZA;MARC BRUNET;MICHEL FUILLET;JACQUES OLIVIER;;JEAN-CLAUDE BOUCHET;EMILE CAVASINO
84_3;BERTRAND HELLEU;ROGER MARTIN;CATHERINE ARKILOVITCH;BERNARD MAUNIER;BERNARD HOFMANN;JEAN-MICHEL FERRAND;MARION MARECHAL-LEPEN
84_4;NATHALIE LACLAU;FABIENNE HALOUI;PIERRE MEFFRE;;SYLVIE TRITTO;BÉNÉDICTE MARTIN;ANNIE-FRANCE SOULET
84_5;ADELINE ROMERO;JOSETTE PESSEMESSE;JEAN-FRANÇOIS LOVISOLO;BETTY CARVOU;;JULIEN AUBERT;MARTINE FURIOLI-BEAUNIER
85_1;FRANÇOIS LAGLEIZE;ANITA CHARRIEAU;MARTINE CHANTECAILLE;ANNE VALIN;JOSEPH NICOLEAU;ALAIN LEBOEUF;RICHARD DUCRET
85_2;PATRICK FOURNIER;JOCELYN ABJEAN;SYLVIANE BULTEAU;MARIE-YANNICK BRIZAR LE BORGNE;FRANÇOISE FONTENAILLE;DOMINIQUE CAILLAUD;BRIGITTE NEVEUX
85_3;DOMINIQUE BELUGOU;OLIVIER LINEATTE;JACQUES FRAISSE;CLAUDINE GOICHON;CHRISTIAN PRAUD;LOUIS GUEDON;DANIÈLE VOUZELLAUD
85_4;MICHEL STAMBOULI;MARIE-FRANÇOISE MICHENAUD;MAÏ HAEFFELIN;DANIEL RONDEAU;CHRISTIAN RICOT;VÉRONIQUE BESSE;MARYSE BORIE
85_5;MARIE-CLAUDE RAMBAUD;MICHÈLE TRICOIRE;HUGUES FOURAGE;TONY DEMEURANT;BÉATRICE MOINARD;JOËL SARLOT;JEAN-CLAUDE PASQUIER
86_1;BRUNO RIONDET;NATHALIE RIMBAULT-RAITIERE;ALAIN CLAEYS;ARNAUD CLAIRAND;BERNARD THEVENET;JACQUELINE DAIGRE;LAURE BRARD
86_2;MARYSE DESBOURDES;THIERRY MIREBEAU;CATHERINE COUTELLE;MARIE-MADELEINE JOUBERT;NATHALIE GUILLET;OLIVIER CHARTIER;HUBERT ADELINE
86_3;DANIÈLE CASSETTE;SAMUEL BOUGRIER;JEAN-MICHEL CLEMENT;MICHEL CHERON;;ENGUERRAND DELANNOY;CÉCILE PERROT
86_4;PATRICE VILLERET;PIERRE BARAUDON;CHRISTIAN MICHAUD;VÉRONIQUE MASSONNEAU;NICOLAS TURQUOIS;JEAN-PIERRE ABELIN;ERIC AUDEBERT
87_1;ELISABETH FAUCON;CLAUDE TOULET;ALAIN RODET;DIDIER TESCHER;NADINE RIVET;FLORENCE PRÉVOT-SOLA;NICOLE SERRE
87_2;CLAUDINE ROUSSIE;MARIE-JOSÉ DUMASDELAGE;DANIEL BOISSERIE;MARIE LABAT;CHRISTOPHE LECHEVALLIER;FRÉDÉRICK PEYRONNET;YANNICK VIDAUD
87_3;DANIEL CLEREMBAUX;;CATHERINE BEAUBATIE;GHISLAINE JEANNOT-PAGÈS;;JEAN-MARC GABOUTY;CATHERINE LAPORTE
88_1;EVELYNE ABBOT;VINCENT GEHIN;FRANÇOIS-XAVIER HUGUENOT;GILLES BILOT;BERTRAND PARMENTIER;MICHEL HEINRICH;JORDAN GROSSE-CRUCIANI
88_2;JACQUES BALU;SANDRA BLAISE;JACK LANG;FABIEN NIEZGODA;JESSICA HENRIOT;GÉRARD CHERPION;JEAN-FRANÇOIS JALKH
88_3;SÉBASTIEN BOUVIER;DOMINIQUE CHOLEZ;ELISE CALAIS;CLAIRE SCHAFF;FRANÇOIS GREMILLET;FRANÇOIS VANNSON;RACHEL SEMBACH
88_4;MAURICE COLAS;AUDREY VOYEN;CHRISTIAN FRANQUEVILLE;FLORENCE LAMAZE;;JEAN-JACQUES GAULTIER;LOUISE BUCHMANN
89_1;NICOLE ASSEGOND;ALAIN RAYMONT;GUY FEREZ;MAUD NAVARRE;JOËL RIGOLAT;GUILLAUME LARRIVÉ;RICHARD JACOB
89_2;AUDREY DUMONT;MARTINE MILLET;JEAN-YVES CAULLET;THOMAS GUÉRET;;JEAN-MARIE ROLLAND;CLAUDE DASSIÉ
89_3;MICHEL LEME;ELODIE DELION;NICOLAS SORET;JEAN ROUSSEL;;MARIE-LOUISE FORT;EDOUARD FERRAND
90_1;CHRISTIANE PETITOT;JACQUES RAMBUR;ANNE-MARIE FORCINAL;EVA PEDROCCHI;RENAUD ROUSSELET;DAMIEN MESLOT;MARC ARCHAMBAULT
