circo;EM;FN;LR;LFI;PS;EELV;UDI;PCF;DLF
71_3;Rémy REBEYROTTE;Quentin BIJARD;Charles LANDRE;Pierre ACEITUNO;Philippe BAUMEL;Pierre-Etienne Graffard;;Serge DESBROSSES;France ROBERT
71_4;Catherine GABRELLE;Maxime THIÉBAUT;Stéphane GROS;Michèle CHAMBON;Cécile UNTERMAIER;Marie-Claude Colin;;Sandrine BERNADAT;Christiane LEMIÈRE
71_5;Raphaël GAUVAIN;Nathalie SZYCH;Gilles PLATRET;Eric RIBOULET;Christophe SIRUGUE;François Lotteau;;Nathalie VERMOREL;Samuel BRANDILY
72_1;Damien PICHEREAU;Marie GENEVREY;Christelle MORANÇAIS;Loïc MORISOT;Françoise DUBOIS;Isabelle Sévère;;;Philippe CORDIER
72_2;Aurélie PEROT;Pascal NICOT;;Matthias TAVEL;Marietta KARAMANLI;Elisabeth Sesma;Samuel CHEVALLIER;Saïda SAFIR;Eric TROCHON
72_3;Pascale FONTENEL-PERSONNE;Pascal GANNAT;Béatrice PAVY-MORANÇAIS;Barbara FOSSAERT;Nicolas CHAUVIN;Dominique Trichet-Allaire;;;David BONNETIER
72_4;;Catherine TRAHTENBROIT;Emmanuel FRANCO;Pascale FROMENTIERE;Stéphane LE FOLL;Alexis Braud;;Youssef BEN AMAR;Isabelle CAMARROQUE
72_5;Willy COLIN;Eric DE VILMAREST;Jean-Carles GRELIER;Luc-Marie FABUREL;Samuel CADEAU;Sophie Bringuy;;Vincent PETIT;Cécile BAYLE DE JESSÉ
73_1;Typhanie DEGOIS;Jean-Pierre CHAUVEAU;Dominique DORD;Thierry BONNAMOUR;Fatiha BRUNETTI;Frédéric EXERTIER;;;
73_2;;Jean-Marie GARCIN;Vincent ROLLAND;Viviane NOGUES;;Yves Durieux;;Nataline CHAREYRON;Elvire BLANC
73_3;Philip VIVIER;Marie DAUCHY;Emilie BONNIVARD;Alexandre ROUX;;Ghislaine SOCQUET-JUGLARD;;Laetitia MIMOUN;Vincent THOMAZO
73_4;Patrick MIGNOLA;Isabelle FÉTU;Alexandra TURNAR;Tiphaine DUCHARNE;;Yves Peutot;Christelle FAVETTA-SIEYES;Antoine FATIGA;
74_1;Véronique RIOTTON;Brigitte THIERY-AUDUBERT;Annabel ANDRE-LAURENT;Julian AUGÉ;Christophe PONCET;Jean-Jacques Bouchet;;Michel LOMBART;François ENCRENAZ
74_2;Frédérique LARDET;Vincent LECAILLON;Lionel TARDY;Yann BURGUIERE;Ghislain LA SPISA;Jeanie Tremblay;;Loris FONTANA;
74_3;Guillaume GIBOUIN;Nathalie GENAND;Martial SADDIER;Jacques CAMBON;;Annie Collinet;;;
74_4;Laura DEVIN;Wenceslas LIARD;Virginie DUBY-MULLER;Michèle KOBUS;Anne FAVRELLE;Catherine Walthert Selosse;;Annie ANSELME;Mylène CLAUSIER
74_5;Marion LENNE;Anne-Francoise ABADIE PARISI;Patricia MAHUT;Marin DAURIAT;Jean-Baptiste BAUD;;;Gil THOMAS;Louis POLESE
74_6;Xavier ROSEREN;Karam AOUN;Sophie DION;Sylvie BRIANCEAU;;Jacques Venjean;;;Amélie SARLIN
75_1;Sylvain MAILLARD;Guylaine COEFFIER;Jean-François LEGARET;Patrick COMOY;Pauline VÉRON;Victoria Barigant;;Sylvie BAYLE;Christophe TAVERNIER
75_2;Gilles LE GENDRE;Manon BOUQUIN;Nathalie KOSCIUSKO-MORIZET;Anne-Françoise PRUNIÈRES;Marine ROSSET;Gilles Seignan;;Lorraine QUESTIAUX;Jan-Edouard BRUNIE
75_3;Stanislas GUERINI;Aurélien LEGRAND;;Laurent LEVARD;Annick LEPETIT;Adrien Delassus;Valérie NAHMIAS;Nadine MEZENCE;François GIORDANO
75_4;Ilana CICUREL;Ève FROGER;Brigitte KUSTER;Mélanie MONIER;Fabrice DASSIE;Hanna Clairière;;Fabienne DOS SANTOS;Nadejda SILANINA
