Prénom;Nom;Département;Numéro de département;Numéro de la circonscription;facebook;twitter;url
Guillaume;GAROT;Mayenne;53;1;https://www.facebook.com/Guillaume-Garot-266607593494148/;https://twitter.com/guillaumegarot;http://www.parti-socialiste.fr/personnalite/guillaume-garot/
Anne;BOYE;Loire-Atlantique;44;7;;;http://www.parti-socialiste.fr/personnalite/anne-boye/
Luc;BELOT;Maine-et-Loire;49;1;;https://twitter.com/LucBELOT;http://www.parti-socialiste.fr/personnalite/luc-belot-2/
Laurianne;DENIAUD;Loire-Atlantique;44;8;https://www.facebook.com/lauriannedeniaud/?fref=ts;https://twitter.com/ldeniaud;http://www.parti-socialiste.fr/personnalite/laurianne-deniaud/
Dominique;RAIMBOURG;Loire-Atlantique;44;4;https://www.facebook.com/DeputeRaimbourg/?fref=ts;https://twitter.com/DeputeRaimbourg;http://www.parti-socialiste.fr/personnalite/dominique-raimbourg/
Michel;MENARD;Loire-Atlantique;44;5;https://www.facebook.com/michelmenard.fr/?fref=ts;https://twitter.com/Michel_MENARD;http://www.parti-socialiste.fr/personnalite/michel-menard/
Alain;ROBERT;Loire-Atlantique;44;2;https://www.facebook.com/AlainRobert2017/?fref=ts;https://twitter.com/AlainRobert44;http://www.parti-socialiste.fr/personnalite/alain-robert/
Karine;DANIEL;Loire-Atlantique;44;3;;https://twitter.com/KarineDanielNts;http://www.parti-socialiste.fr/personnalite/karine-daniel/
Valérie;RABAULT;Tarn-et-Garonne;82;1;https://www.facebook.com/ValerieRabault82/?fref=ts;https://twitter.com/Valerie_Rabault;http://www.parti-socialiste.fr/personnalite/valerie-rabault/
Claire;FITA;Tarn;81;2;https://www.facebook.com/clairefita2017/?fref=ts;https://twitter.com/claire_fita;http://www.parti-socialiste.fr/personnalite/claire-fita-2/
Linda;Gourjade;;;;https://www.facebook.com/lindagourjade/;https://twitter.com/Linda_Gourjade;http://www.parti-socialiste.fr/personnalite/linda-gourjade/
Sylvia;CAMARA TOMBINI;Maine-et-Loire;49;7;https://www.facebook.com/SilviaCamaraTombini/?fref=ts;https://twitter.com/SCamaraTombini;http://www.parti-socialiste.fr/personnalite/sylvia-camara-tombini/
Ségolène;NEUVILLE;Pyrénées-Orientales;66;3;https://www.facebook.com/S%C3%A9gol%C3%A8ne-Neuville-247480335326198/;https://twitter.com/s_neuville;http://www.parti-socialiste.fr/personnalite/segolene-neuville/
Alexandre;REYNAL;Pyrénées-Orientales;66;4;https://www.facebook.com/alexandrereynal2017/?fref=ts;;http://www.parti-socialiste.fr/personnalite/alexandre-reynal/
Patrice;BEDIER;Tarn;81;1;https://www.facebook.com/patrice.bedier?fref=ts;https://twitter.com/patricebedier;http://www.parti-socialiste.fr/personnalite/patrice-bedier/
Jean;GLAVANY;Hautes-Pyrénées;65;1;https://www.facebook.com/jean.glavany.9/?fref=ts;https://twitter.com/JeanGlavany;http://www.parti-socialiste.fr/personnalite/jean-glavany/
Marie;Pierre SADOURNY;Pyrénées-Orientales;66;2;https://www.facebook.com/pg/Marie-Pierre-Sadourny-2017-696939513818379/about/?ref=page_internal;;http://www.parti-socialiste.fr/personnalite/marie-pierre-sadourny/
Christian;ASSAF;Hérault;34;8;https://www.facebook.com/christianassaf2017/?fref=ts;https://twitter.com/assaf_christian;http://www.parti-socialiste.fr/personnalite/christian-assaf-2/
Vincent;LABARTHE;Lot;46;2;https://www.facebook.com/vincentlabarthe2017/?fref=ts;https://twitter.com/VLabarthe2017?lang=fr;http://www.parti-socialiste.fr/personnalite/vincent-labarthe/
Sébastien;DENAJA;Hérault;34;7;;https://twitter.com/SebastienDenaja;http://www.parti-socialiste.fr/personnalite/sebastien-denaja/
Aurélie;Maillols;Lozère;48;1;https://www.facebook.com/aurelie.maillols;https://twitter.com/aureliemaillols;http://www.parti-socialiste.fr/personnalite/aurelie-maillols/
Marie;PASSIEUX;Hérault;34;5;;;http://www.parti-socialiste.fr/personnalite/marie-passieux/
Frédéric;ROIG;Hérault;34;4;https://www.facebook.com/fredericroig2017/?fref=ts;;http://www.parti-socialiste.fr/personnalite/frederic-roig/
Fanny;DOMBRE COSTE;Hérault;34;10;https://www.facebook.com/dombrecoste.fanny/?fref=ts;https://twitter.com/F_DombreCoste;http://www.parti-socialiste.fr/personnalite/fanny-dombre-coste/
Anne-Yvonne;LE DAIN;Hérault;34;2;https://www.facebook.com/Ayledain/?fref=ts;https://twitter.com/Ayledain;http://www.parti-socialiste.fr/personnalite/anne-yvonne-dain/
Camille;POUPONNEAU;Haute-Garonne;31;6;https://www.facebook.com/profile.php?id=100015129075580&fref=ts;https://twitter.com/Camille_2Neau;http://www.parti-socialiste.fr/personnalite/camille-pouponneau/
Gisèle;BIEMOURET;Gers;32;2;;https://twitter.com/GiseleBiemouret;http://www.parti-socialiste.fr/personnalite/gisele-biemouret/
Francis;DUPOUEY;Gers;32;1;;;http://www.parti-socialiste.fr/personnalite/francis-dupouey/
ARIF;Kader;Haute-Garonne;31;10;https://www.facebook.com/kaderarif2017/?fref=ts;https://twitter.com/kaderarif;http://www.parti-socialiste.fr/personnalite/arif-kader/
Christophe;BORGEL;Haute-Garonne;31;9;https://www.facebook.com/chborgel/?fref=ts;https://twitter.com/chborgel;http://www.parti-socialiste.fr/personnalite/christophe-borgel-2/
Joel;AVIRAGNET;Haute-Garonne;31;8;;https://twitter.com/JAviragnet;http://www.parti-socialiste.fr/personnalite/joel-aviragnet/
Marie-Caroline;TEMPESTA;Haute-Garonne;31;7;https://www.facebook.com/mcTempesta2017/?fref=ts;https://twitter.com/mctempesta2017;http://www.parti-socialiste.fr/personnalite/marie-caroline-tempesta/
